Node, Version, Time
144, 0, 122759.73154418117
145, 0, 122759.73154418117
150, 0, 122759.73154418117
156, 0, 122759.73154418117
157, 0, 122759.73154418117
165, 0, 122759.73154418117
166, 0, 122759.73154418117
167, 0, 122759.73154418117
180, 0, 122759.73154418117
181, 0, 122759.73154418117
187, 0, 122759.73154418117
196, 0, 122759.73154418117
200, 0, 122759.73154418117
207, 0, 122759.73154418117
211, 0, 122759.73154418117
216, 0, 122759.73154418117
217, 0, 122759.73154418117
222, 0, 122759.73154418117
225, 0, 122759.73154418117
228, 0, 122759.73154418117
234, 0, 122759.73154418117
239, 0, 122759.73154418117
240, 0, 122759.73154418117
243, 0, 122759.73154418117
244, 0, 122759.73154418117
246, 0, 122759.73154418117
248, 0, 122759.73154418117
261, 0, 122759.73154418117
265, 0, 122759.73154418117
269, 0, 122759.73154418117
282, 0, 122759.73154418117
283, 0, 122759.73154418117
284, 0, 122759.73154418117
285, 0, 122759.73154418117
290, 0, 122759.73154418117
304, 0, 122759.73154418117
311, 0, 122759.73154418117
313, 0, 122759.73154418117
314, 0, 122759.73154418117
315, 0, 122759.73154418117
317, 0, 122759.73154418117
319, 0, 122759.73154418117
331, 0, 122759.73154418117
334, 0, 122759.73154418117
343, 0, 122759.73154418117
347, 0, 122759.73154418117
352, 0, 122759.73154418117
363, 0, 122759.73154418117
366, 0, 122759.73154418117
368, 0, 122759.73154418117
373, 0, 122759.73154418117
377, 0, 122759.73154418117
383, 0, 122759.73154418117
384, 0, 122759.73154418117
385, 0, 122759.73154418117
393, 0, 122759.73154418117
394, 0, 122759.73154418117
395, 0, 122759.73154418117
397, 0, 122759.73154418117
399, 0, 122759.73154418117
0, 0, 126359.73154418117
3, 0, 126359.73154418117
10, 0, 126359.73154418117
12, 0, 126359.73154418117
14, 0, 126359.73154418117
16, 0, 126359.73154418117
20, 0, 126359.73154418117
23, 0, 126359.73154418117
25, 0, 126359.73154418117
28, 0, 126359.73154418117
29, 0, 126359.73154418117
32, 0, 126359.73154418117
34, 0, 126359.73154418117
35, 0, 126359.73154418117
38, 0, 126359.73154418117
54, 0, 126359.73154418117
56, 0, 126359.73154418117
57, 0, 126359.73154418117
60, 0, 126359.73154418117
67, 0, 126359.73154418117
68, 0, 126359.73154418117
76, 0, 126359.73154418117
81, 0, 126359.73154418117
94, 0, 126359.73154418117
99, 0, 126359.73154418117
106, 0, 126359.73154418117
107, 0, 126359.73154418117
109, 0, 126359.73154418117
111, 0, 126359.73154418117
113, 0, 126359.73154418117
119, 0, 126359.73154418117
120, 0, 126359.73154418117
124, 0, 126359.73154418117
126, 0, 126359.73154418117
133, 0, 126359.73154418117
136, 0, 126359.73154418117
137, 0, 126359.73154418117
140, 0, 126359.73154418117
141, 0, 126359.73154418117
143, 0, 126359.73154418117
144, 0, 126359.73154418117
145, 0, 126359.73154418117
150, 0, 126359.73154418117
156, 0, 126359.73154418117
157, 0, 126359.73154418117
165, 0, 126359.73154418117
166, 0, 126359.73154418117
167, 0, 126359.73154418117
168, 0, 126359.73154418117
170, 0, 126359.73154418117
181, 0, 126359.73154418117
182, 0, 126359.73154418117
186, 0, 126359.73154418117
187, 0, 126359.73154418117
190, 0, 126359.73154418117
196, 0, 126359.73154418117
200, 0, 126359.73154418117
207, 0, 126359.73154418117
211, 0, 126359.73154418117
213, 0, 126359.73154418117
216, 0, 126359.73154418117
217, 0, 126359.73154418117
222, 0, 126359.73154418117
225, 0, 126359.73154418117
228, 0, 126359.73154418117
234, 0, 126359.73154418117
239, 0, 126359.73154418117
240, 0, 126359.73154418117
243, 0, 126359.73154418117
244, 0, 126359.73154418117
